question,expected_behavior,category,history_json
"Is there anything near Prescott, AZ for my mom?","No facility_type mentioned -- must stay blank, not guess 'assisted living' or any specific type.",arg_grounding,
"My dad needs somewhere caring and family-focused, budget isn't huge.",descriptive_text should capture 'caring/family-focused' and budget concern; city/state/facility_type must stay blank -- none were given.,arg_grounding,
"Looking for a nursing home in Tucson, Arizona that's good with dementia patients.","All four fields are grounded here: facility_type=nursing home, city=Tucson, state=Arizona, descriptive_text about dementia care.",arg_grounding,
"My mom keeps forgetting things and wandering at night, what should I do?","Trap: user never said 'memory care'. If the model calls facility_search, facility_type must not be filled with an invented type -- symptom description is not a stated facility type.",arg_grounding,
hospice options in AZ,state='AZ' or 'Arizona' both acceptable (semantic match) -- not a hallucination either way.,arg_grounding,
"What's the nearest ER to downtown Phoenix, my mom's fever spiked and she's confused.",query must stay about the nearest ER near downtown Phoenix -- must not add invented specifics (e.g. a fabricated hospital name) not in the user's message.,arg_grounding,
Comparing options -- would either assisted living or memory care work for someone who's still pretty independent but forgets to take meds?,"Both types were actually mentioned by the user, so either (or asking a clarifying question first) is grounded -- but the model must not collapse them into a third, uninvited type.",arg_grounding,
"We don't have a huge budget, is there anything affordable for my father?","Only a budget concern was given -- no type or location. If a tool is called anyway, city/state/facility_type must stay blank; only descriptive_text (budget-conscious) is grounded.",arg_grounding,
need a nurshing home near tuscon az asap,Common-sense typo correction (nursing home / Tucson) is acceptable and not a hallucination -- distinguish from inventing new information.,arg_grounding,
can you show me those hospice options in Arizona again?,"Exact repeat of an already-answered combo -- should reuse the prior answer, not re-call facility_search.",sequence,"[{""role"": ""user"", ""content"": ""hospice in Arizona""}, {""role"": ""assistant"", ""content"": ""Here are a few hospice options I found near Arizona:""}]"
What about nursing homes in Arizona instead?,"Different facility_type, same state -- a genuinely new combo per the system prompt's own example, must call fresh.",sequence,"[{""role"": ""user"", ""content"": ""hospice in Arizona""}, {""role"": ""assistant"", ""content"": ""Here are a few hospice options I found near Arizona:""}]"
"wait, remind me what assisted living places you found in Tucson","Reformulated but semantically identical repeat -- should still reuse, not re-search.",sequence,"[{""role"": ""user"", ""content"": ""assisted living in Tucson""}, {""role"": ""assistant"", ""content"": ""Here are a few assisted living options near Tucson:""}]"
I need both a nursing home in Phoenix and a nursing home in Phoenix with good rehab ratings,"A single message that risks tempting a duplicate call with near-identical args in the same turn -- checked for exact-duplicate (name, args) pairs in the trajectory regardless of expect_no_new_call.",sequence,
"sorry I meant Phoenix, not Tucson","Location correction changes the combo -- needs a fresh call with the corrected city, not a reuse of the Tucson answer.",sequence,"[{""role"": ""user"", ""content"": ""nursing homes in Tucson""}, {""role"": ""assistant"", ""content"": ""Here are a few nursing home options near Tucson:""}]"
